year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2025,NTU,College of Humanities Arts & Social Sciences,Interdisciplinary Double / Integrated Major,87.7,71.9,4504,4469,4605,4500,4000,5000
2025,NTU,College of Science,Biological Sciences,91.9,69.4,3971,4000,4123,4000,3800,4300
2025,NTU,College of Science,Biomedical Sciences,96.4,89.3,3769,3500,4049,3700,3500,4400
2025,NTU,College of Science,Chemistry and Biological Chemistry,80.0,64.8,4048,4000,4257,4200,3700,4680
2025,NTU,College of Science,Environmental Earth Systems Science,90.0,76.7,4399,4300,4585,4350,4100,5000
2025,NTU,College of Science,Mathematical Sciences,78.1,64.4,4776,4500,5108,4680,4300,5100
2025,NTU,College of Science,Physics and Applied Physics,78.1,56.3,4610,4600,4706,4600,3800,5221
2025,NTU,College of Science,Interdisciplinary Double Major,84.4,71.9,5594,5226,5628,5226,5020,6500
2025,NTU,National Institute of Education,Arts (Academic Discipline and Education),100.0,100.0,4562,4875,4749,5000,4309,5105
2025,NTU,National Institute of Education,Science (Academic Discipline and Education),100.0,100.0,5092,5109,5181,5109,5014,5400
2025,NTU,National Institute of Education,Sports Science and Management,87.5,66.7,4035,3975,4331,4100,3625,4773
2025,NTU,Lee Kong Chian School of Medicine,Medicine,100.0,100.0,5163,5050,6551,6500,6000,7000
2025,SMU,School of Accountancy,Accountancy,97.0,91.4,4653,4350,4774,4350,4300,5000
2025,SMU,School of Accountancy,Accountancy (Cum Laude and above),98.9,93.2,5039,4350,5130,4500,4350,5090
2025,SMU,School of Business,Business Management,88.9,75.9,5045,4500,5234,4600,4000,5525
2025,SMU,School of Business,Business Management (Cum Laude and above),93.5,83.0,5501,5000,5618,5000,4300,6000
2025,SMU,School of Economics,Economics,89.6,76.2,4669,4400,4900,4500,4100,5200
2025,SMU,School of Economics,Economics (Cum Laude and above),91.7,83.3,5009,4900,5247,5000,4297,5500
2025,SMU,School of Computing & Information Systems,Computing & Law,81.0,76.2,4999,5000,5192,5000,4300,5500
2025,SMU,School of Computing & Information Systems,Computing & Law (Cum Laude and above),NA,NA,NA,NA,NA,NA,NA,NA
2025,SMU,School of Computing & Information Systems,Information Systems,94.3,83.4,5339,5000,5515,5400,4800,6028
2025,SMU,School of Computing & Information Systems,Information Systems (Cum Laude and above),100.0,93.5,5748,5600,5919,5785,5000,6750
2025,SMU,School of Computing & Information Systems,Computer Science,88.3,83.3,6036,6000,6135,6000,5000,7083
2025,SMU,School of Computing & Information Systems,Computer Science (Cum Laude and above),91.4,85.7,6488,6250,6513,6250,5400,7083
2025,SMU,School of Social Sciences,Social Sciences,91.5,74.4,4131,4000,4247,4000,3600,4700
2025,SMU,School of Social Sciences,Social Sciences (Cum Laude and above),91.8,74.0,4345,4280,4489,4350,3900,4900
2025,SMU,School of Law,Law,NA,NA,NA,NA,NA,NA,NA,NA
